Ground truth file: ./Vid_C_juice.avi
frame mean variance /Vid_CPF.txt
237 0.4481357901 0.0000000000 0.4481357901
238 0.4454250473 0.0000000000 0.4454250473
239 0.4352578795 0.0000000000 0.4352578795
240 0.4414348776 0.0000000000 0.4414348776
241 0.4244174173 0.0000000000 0.4244174173
242 0.4475723812 0.0000000000 0.4475723812
243 0.4579215189 0.0000000000 0.4579215189
244 0.4575588402 0.0000000000 0.4575588402
245 0.4482179572 0.0000000000 0.4482179572
246 0.4434923427 0.0000000000 0.4434923427
247 0.4533559681 0.0000000000 0.4533559681
248 0.4582949090 0.0000000000 0.4582949090
249 0.4720344943 0.0000000000 0.4720344943
250 0.4874296163 0.0000000000 0.4874296163
251 0.4808627878 0.0000000000 0.4808627878
252 0.4767831475 0.0000000000 0.4767831475
253 0.4754423375 0.0000000000 0.4754423375
254 0.4922238193 0.0000000000 0.4922238193
255 0.4910823172 0.0000000000 0.4910823172
256 0.4890853146 0.0000000000 0.4890853146
257 0.4340080424 0.0000000000 0.4340080424
258 0.3796854382 0.0000000000 0.3796854382
259 0.3025337392 0.0000000000 0.3025337392
260 0.2865286404 0.0000000000 0.2865286404
261 0.3407551069 0.0000000000 0.3407551069
262 0.3708719550 0.0000000000 0.3708719550
263 0.4007448346 0.0000000000 0.4007448346
264 0.4097032368 0.0000000000 0.4097032368
265 0.3858790799 0.0000000000 0.3858790799
266 0.4138984371 0.0000000000 0.4138984371
267 0.4623962730 0.0000000000 0.4623962730
268 0.3972275748 0.0000000000 0.3972275748
269 0.3876937498 0.0000000000 0.3876937498
270 0.4140268622 0.0000000000 0.4140268622
271 0.3403070758 0.0000000000 0.3403070758
272 0.3388458969 0.0000000000 0.3388458969
273 0.4105180186 0.0000000000 0.4105180186
274 0.4360587331 0.0000000000 0.4360587331
275 0.4005182927 0.0000000000 0.4005182927
276 0.3886083721 0.0000000000 0.3886083721
277 0.3509725610 0.0000000000 0.3509725610
278 0.3856397756 0.0000000000 0.3856397756
279 0.4337114708 0.0000000000 0.4337114708
280 0.4296817287 0.0000000000 0.4296817287
281 0.4216419461 0.0000000000 0.4216419461
282 0.4088480576 0.0000000000 0.4088480576
283 0.4058791492 0.0000000000 0.4058791492
284 0.3831203128 0.0000000000 0.3831203128
285 0.4511714797 0.0000000000 0.4511714797
286 0.4486838920 0.0000000000 0.4486838920
287 0.4326379868 0.0000000000 0.4326379868
288 0.4342251632 0.0000000000 0.4342251632
289 0.4251246379 0.0000000000 0.4251246379
290 0.4308106540 0.0000000000 0.4308106540
291 0.4141534960 0.0000000000 0.4141534960
292 0.4118793965 0.0000000000 0.4118793965
293 0.3929017855 0.0000000000 0.3929017855
294 0.3878741306 0.0000000000 0.3878741306
295 0.4188949609 0.0000000000 0.4188949609
296 0.3804455465 0.0000000000 0.3804455465
297 0.4097650562 0.0000000000 0.4097650562
298 0.3765994198 0.0000000000 0.3765994198
299 0.3556857629 0.0000000000 0.3556857629
300 0.3719709148 0.0000000000 0.3719709148
301 0.3335999686 0.0000000000 0.3335999686
302 0.3486073624 0.0000000000 0.3486073624
303 0.3249044206 0.0000000000 0.3249044206
304 0.3199796505 0.0000000000 0.3199796505
305 0.2916050693 0.0000000000 0.2916050693
306 0.2941296735 0.0000000000 0.2941296735
307 0.2930511083 0.0000000000 0.2930511083
308 0.3682390429 0.0000000000 0.3682390429
309 0.3632346104 0.0000000000 0.3632346104
310 0.3595719079 0.0000000000 0.3595719079
311 0.3545767269 0.0000000000 0.3545767269
312 0.3075134706 0.0000000000 0.3075134706
313 0.3098160912 0.0000000000 0.3098160912
314 0.3643109894 0.0000000000 0.3643109894
315 0.3393468695 0.0000000000 0.3393468695
316 0.3521846893 0.0000000000 0.3521846893
317 0.4528927386 0.0000000000 0.4528927386
318 0.4293951491 0.0000000000 0.4293951491
319 0.3822137042 0.0000000000 0.3822137042
320 0.3397408544 0.0000000000 0.3397408544
321 0.3780455987 0.0000000000 0.3780455987
322 0.3992197480 0.0000000000 0.3992197480
323 0.4275512463 0.0000000000 0.4275512463
324 0.3679556344 0.0000000000 0.3679556344
325 0.3956653016 0.0000000000 0.3956653016
326 0.3986172322 0.0000000000 0.3986172322
327 0.3813781717 0.0000000000 0.3813781717
328 0.4443712023 0.0000000000 0.4443712023
329 0.4290149944 0.0000000000 0.4290149944
330 0.3936684963 0.0000000000 0.3936684963
331 0.4101635504 0.0000000000 0.4101635504
332 0.4269104154 0.0000000000 0.4269104154
333 0.3975041415 0.0000000000 0.3975041415
334 0.4137186463 0.0000000000 0.4137186463
335 0.3933583908 0.0000000000 0.3933583908
336 0.3766667431 0.0000000000 0.3766667431
337 0.3658822172 0.0000000000 0.3658822172
338 0.4163913691 0.0000000000 0.4163913691
339 0.4148785915 0.0000000000 0.4148785915
340 0.3543990860 0.0000000000 0.3543990860
341 0.3751442292 0.0000000000 0.3751442292
342 0.4194566040 0.0000000000 0.4194566040
343 0.4152132353 0.0000000000 0.4152132353
344 0.3704468905 0.0000000000 0.3704468905
345 0.3664718756 0.0000000000 0.3664718756
346 0.3421072072 0.0000000000 0.3421072072
347 0.3538592633 0.0000000000 0.3538592633
348 0.3555419884 0.0000000000 0.3555419884
349 0.3817774086 0.0000000000 0.3817774086
350 0.3730932916 0.0000000000 0.3730932916
351 0.4063884511 0.0000000000 0.4063884511
352 0.4293770610 0.0000000000 0.4293770610
353 0.4371995318 0.0000000000 0.4371995318
354 0.3609616051 0.0000000000 0.3609616051
355 0.3542907762 0.0000000000 0.3542907762
356 0.3428781276 0.0000000000 0.3428781276
357 0.3687923697 0.0000000000 0.3687923697
358 0.3731029422 0.0000000000 0.3731029422
359 0.4181754160 0.0000000000 0.4181754160
360 0.4165932064 0.0000000000 0.4165932064
361 0.4288177525 0.0000000000 0.4288177525
362 0.4009732719 0.0000000000 0.4009732719
363 0.3661640896 0.0000000000 0.3661640896
364 0.4118149172 0.0000000000 0.4118149172
365 0.3280048734 0.0000000000 0.3280048734
366 0.3347864844 0.0000000000 0.3347864844
367 0.3724107957 0.0000000000 0.3724107957
368 0.3281779686 0.0000000000 0.3281779686
369 0.3452196876 0.0000000000 0.3452196876
370 0.2920000349 0.0000000000 0.2920000349
371 0.2510100865 0.0000000000 0.2510100865
372 0.2703030434 0.0000000000 0.2703030434
373 0.2818868889 0.0000000000 0.2818868889
374 0.3084699220 0.0000000000 0.3084699220
375 0.2525619052 0.0000000000 0.2525619052
376 0.2605611775 0.0000000000 0.2605611775
377 0.3036038617 0.0000000000 0.3036038617
378 0.3774073217 0.0000000000 0.3774073217
379 0.4010166476 0.0000000000 0.4010166476
380 0.4219785819 0.0000000000 0.4219785819
381 0.4316115832 0.0000000000 0.4316115832
382 0.3791921072 0.0000000000 0.3791921072
383 0.3062189610 0.0000000000 0.3062189610
384 0.2378533217 0.0000000000 0.2378533217
385 0.2346128684 0.0000000000 0.2346128684
386 0.2357517317 0.0000000000 0.2357517317
387 0.3827441924 0.0000000000 0.3827441924
388 0.3167830533 0.0000000000 0.3167830533
389 0.2733584299 0.0000000000 0.2733584299
390 0.2783042855 0.0000000000 0.2783042855
391 0.3188707019 0.0000000000 0.3188707019
392 0.3241517867 0.0000000000 0.3241517867
393 0.3698259480 0.0000000000 0.3698259480
394 0.3847866392 0.0000000000 0.3847866392
395 0.3844414863 0.0000000000 0.3844414863
396 0.3247349138 0.0000000000 0.3247349138
397 0.4074283895 0.0000000000 0.4074283895
398 0.3827372772 0.0000000000 0.3827372772
399 0.3914564643 0.0000000000 0.3914564643
400 0.4022856778 0.0000000000 0.4022856778
401 0.4067391916 0.0000000000 0.4067391916
402 0.4302720107 0.0000000000 0.4302720107
403 0.4054109941 0.0000000000 0.4054109941
